id_municipio,Municipio,muni_clean,provincia,poblacion,censo,1_avance,particip_1_avance,2_avance,particip_2_avance,total_votantes,particip_total,v_nulos,votos_validos,v_blanco,total_votos_candid,ganador,por_ganador,segundo,por_segundo,PSOE,PP,Cs,Podemos,VOX,UPL,XAV,Otros,psoe_por,pp_por,cs_por,podemos_por,vox_por,upl_por,xav_por,otros_por
05196,RIVILLA DE BARAJAS,Rivilla de Barajas,Ávila,67,58,17,"29,3",26,"44,8",45,"77,6",0,45,0,45,PSOE,"64,4",PP,"15,6",29,7,5,0,1,0,3,0,"64,4","15,6","11,1","0,0","2,2","0,0","6,7","0,0"
05197,SALOBRAL,Salobral,Ávila,118,100,45,"45,0",73,"73,0",82,"82,0",0,82,0,82,PP,"41,5",PSOE,"18,3",15,34,8,2,7,0,14,2,"18,3","41,5","9,8","2,4","8,5","0,0","17,1","2,4"
05198,SALVADIÓS,Salvadiós,Ávila,67,71,30,"42,3",46,"64,8",60,"84,5",2,58,0,58,PP,"53,4",Cs,"20,7",11,31,12,1,3,0,0,0,"19,0","53,4","20,7","1,7","5,2","0,0","0,0","0,0"
05199,SAN BARTOLOMÉ DE BÉJAR,San Bartolomé de Béjar,Ávila,44,37,24,"64,9",27,"73,0",36,"97,3",0,36,0,36,PP,"52,8",PSOE,"16,7",6,19,1,4,2,0,2,2,"16,7","52,8","2,8","11,1","5,6","0,0","5,6","5,6"
05200,SAN BARTOLOMÉ DE CORNEJA,San Bartolomé de Corneja,Ávila,40,41,16,"39,0",19,"46,3",29,"70,7",0,29,0,29,PP,"48,3",PSOE,"27,6",8,14,0,1,0,0,6,0,"27,6","48,3","0,0","3,4","0,0","0,0","20,7","0,0"
05201,SAN BARTOLOME DE PINARES,San Bartolomé de Pinares,Ávila,521,498,264,"53,0",367,"73,7",445,"89,4",6,439,3,436,PP,"40,1",PSOE,"31,9",140,176,68,14,7,0,3,28,"31,9","40,1","15,5","3,2","1,6","0,0","0,7","6,4"
05204,SANCHIDRIÁN,Sanchidrián,Ávila,727,581,280,"48,2",412,"70,9",480,"82,6",3,477,4,473,PP,"42,8",PSOE,"31,4",150,204,68,16,20,0,1,14,"31,4","42,8","14,3","3,4","4,2","0,0","0,2","2,9"
05205,SANCHORREJA,Sanchorreja,Ávila,85,80,37,"46,3",50,"62,5",62,"77,5",0,62,0,62,PSOE,"32,3",PP,"27,4",20,17,9,0,4,0,10,2,"32,3","27,4","14,5","0,0","6,5","0,0","16,1","3,2"
05206,SAN ESTEBAN DE LOS PATOS,San Esteban de los Patos,Ávila,23,27,11,"40,7",16,"59,3",22,"81,5",3,19,1,18,PSOE,"42,1",PP,"21,1",8,4,2,2,1,0,1,0,"42,1","21,1","10,5","10,5","5,3","0,0","5,3","0,0"
05207,SAN ESTEBAN DEL VALLE,San Esteban del Valle,Ávila,736,645,306,"47,4",466,"72,2",558,"86,5",1,557,1,556,PSOE,"45,2",PP,"29,4",252,164,50,15,14,0,53,8,"45,2","29,4","9,0","2,7","2,5","0,0","9,5","1,4"
